iter	Passed	Remaining
0	0	58
1	1	52
2	1	50
3	1	46
4	2	45
5	2	45
6	3	44
7	3	44
8	4	43
9	4	43
10	5	42
11	5	42
12	6	41
13	6	40
14	7	40
15	7	39
16	7	38
17	8	38
18	8	38
19	9	37
20	9	37
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	15	31
34	16	30
35	16	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	22	23
48	22	23
49	22	22
50	23	22
51	23	22
52	24	21
53	24	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	18
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	45	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
